Region,Restriction color,Start,End
Toscana,Orange,2020-11-11,2020-11-14
Toscana,Red,2020-11-15,2020-12-05
Toscana,Orange,2020-12-06,2020-12-19
Toscana,Yellow,2020-12-20,2020-12-23
Toscana,Red,2020-12-24,2020-12-27
Toscana,Orange,2020-12-28,2020-12-30
Toscana,Red,2020-12-31,2021-01-03
Toscana,Orange,2021-01-04,2021-01-04
Toscana,Red,2021-01-05,2021-01-06
Toscana,Yellow,2021-01-07,2021-02-13
Toscana,Orange,2021-02-14,2021-03-28
Toscana,Red,2021-03-29,2021-04-11
Toscana,Orange,2021-04-12,2021-04-25
Toscana,Yellow,2021-04-26,2021-05-16
Umbria,Yellow,2020-11-06,2020-11-10
Umbria,Orange,2020-11-11,2020-12-05
Umbria,Yellow,2020-12-06,2020-12-23
Umbria,Red,2020-12-24,2020-12-27
Umbria,Orange,2020-12-28,2020-12-30
Umbria,Red,2020-12-31,2021-01-03
Umbria,Orange,2021-01-04,2021-01-04
Umbria,Red,2021-01-05,2021-01-06
Umbria,Yellow,2021-01-07,2021-01-16
Umbria,Orange,2021-01-17,2021-04-02
Umbria,Red,2021-04-03,2021-04-05
Umbria,Orange,2021-04-06,2021-04-25
Umbria,Yellow,2021-04-26,2021-05-16
Valle d'Aosta,Red,2020-11-06,2020-12-05
Valle d'Aosta,Orange,2020-12-06,2020-12-19
Valle d'Aosta,Yellow,2020-12-20,2020-12-23
Valle d'Aosta,Red,2020-12-24,2020-12-27
Valle d'Aosta,Orange,2020-12-28,2020-12-30
Valle d'Aosta,Red,2020-12-31,2021-01-03
Valle d'Aosta,Orange,2021-01-04,2021-01-04
Valle d'Aosta,Red,2021-01-05,2021-01-06
Valle d'Aosta,Yellow,2021-01-07,2021-01-16
Valle d'Aosta,Orange,2021-01-17,2021-01-31
Valle d'Aosta,Yellow,2021-02-01,2021-03-14
Valle d'Aosta,Orange,2021-03-15,2021-03-28
Valle d'Aosta,Red,2021-03-29,2021-04-25
Valle d'Aosta,Orange,2021-04-26,2021-05-02
Valle d'Aosta,Red,2021-05-03,2021-05-09
Valle d'Aosta,Orange,2021-05-10,2021-05-16
Veneto,Yellow,2020-11-06,2020-12-23
Veneto,Red,2020-12-24,2020-12-27
Veneto,Orange,2020-12-28,2020-12-30
Veneto,Red,2020-12-31,2021-01-03
Veneto,Orange,2021-01-04,2021-01-04
Veneto,Red,2021-01-05,2021-01-06
Veneto,Yellow,2021-01-07,2021-01-10
Veneto,Orange,2021-01-11,2021-01-31
Veneto,Yellow,2021-02-01,2021-03-07
Veneto,Orange,2021-03-08,2021-03-14
Veneto,Red,2021-03-15,2021-04-05
Veneto,Orange,2021-04-06,2021-04-25
Veneto,Yellow,2021-04-26,2021-05-16
